packet_id,timestamp,label,src_ip,dst_ip,protocol,src_port,dst_port,length
0,1771502223.035229,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
1,1771502223.463667,BENIGNE,N/A,N/A,N/A,0,0,60
2,1771502224.059023,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
3,1771502225.083036,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
4,1771502225.525155,BENIGNE,N/A,N/A,N/A,0,0,60
5,1771502226.556878,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,66
6,1771502226.566098,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,66
7,1771502227.131325,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
8,1771502227.549344,BENIGNE,N/A,N/A,N/A,0,0,60
9,1771502229.564815,BENIGNE,N/A,N/A,N/A,0,0,60
10,1771502230.015833,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
11,1771502230.015907,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
12,1771502230.015927,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
13,1771502230.015944,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
14,1771502230.015989,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
15,1771502230.016006,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
16,1771502230.016183,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
17,1771502230.016215,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
18,1771502230.016231,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
19,1771502230.016391,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
20,1771502230.01641,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
21,1771502230.016432,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
22,1771502230.016627,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,868
23,1771502230.039554,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
24,1771502230.044946,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
25,1771502230.050001,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,72
26,1771502230.05029,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
27,1771502230.050437,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
28,1771502230.054265,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
29,1771502230.069584,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,72
30,1771502230.070209,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
31,1771502231.116253,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,1514
32,1771502231.116367,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,101
33,1771502231.124411,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,66
34,1771502231.125906,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,72
35,1771502231.126297,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,66
36,1771502231.162936,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
37,1771502231.669424,BENIGNE,N/A,N/A,N/A,0,0,60
38,1771502233.68944,BENIGNE,N/A,N/A,N/A,0,0,60
39,1771502233.85355,BENIGNE,192.168.10.102,192.168.60.101,6,59276,5514,1514
40,1771502233.853673,BENIGNE,192.168.10.102,192.168.60.101,6,59276,5514,123
41,1771502233.862948,BENIGNE,192.168.60.101,192.168.10.102,6,5514,59276,66
42,1771502233.863315,BENIGNE,192.168.60.101,192.168.10.102,6,5514,59276,66
43,1771502235.491242,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,55
44,1771502235.501194,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,66
45,1771502235.717318,BENIGNE,N/A,N/A,N/A,0,0,60
46,1771502237.845966,BENIGNE,N/A,N/A,N/A,0,0,60
47,1771502239.547304,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
48,1771502239.870318,BENIGNE,N/A,N/A,N/A,0,0,60
49,1771502240.450653,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,1514
50,1771502240.450856,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,1514
51,1771502240.450901,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,1115
52,1771502240.461568,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,56
53,1771502240.461742,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,56
54,1771502240.463333,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,56
55,1771502240.467269,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,60
56,1771502240.490102,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,54
57,1771502241.115671,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,1478
58,1771502241.129708,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,72
59,1771502241.130101,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,72
60,1771502241.130357,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,66
61,1771502241.13052,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,66
62,1771502242.052668,BENIGNE,N/A,N/A,N/A,0,0,60
63,1771502244.116553,BENIGNE,N/A,N/A,N/A,0,0,60
64,1771502245.17922,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
65,1771502245.188989,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
66,1771502246.153369,BENIGNE,N/A,N/A,N/A,0,0,60
67,1771502248.247468,BENIGNE,N/A,N/A,N/A,0,0,60
68,1771502250.02242,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
69,1771502250.022505,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
70,1771502250.022547,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
71,1771502250.022569,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
72,1771502250.022583,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
73,1771502250.022597,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
74,1771502250.022732,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
75,1771502250.022758,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
76,1771502250.022773,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
77,1771502250.022922,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
78,1771502250.022946,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
79,1771502250.022961,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
80,1771502250.02313,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
81,1771502250.023148,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
82,1771502250.023189,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
83,1771502250.043279,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
84,1771502250.043985,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
85,1771502250.044035,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,1514
86,1771502250.044062,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
87,1771502250.044133,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,689
88,1771502250.049403,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
89,1771502250.062572,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
90,1771502250.070216,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
91,1771502250.070648,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
92,1771502250.072845,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,72
93,1771502250.073215,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,66
94,1771502250.073386,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
95,1771502250.101228,BENIGNE,192.168.60.101,192.168.10.103,6,5044,53668,72
96,1771502250.101648,BENIGNE,192.168.10.103,192.168.60.101,6,53668,5044,66
97,1771502250.313991,BENIGNE,N/A,N/A,N/A,0,0,60
98,1771502251.840514,BENIGNE,N/A,N/A,N/A,0,0,384
99,1771502252.340083,BENIGNE,N/A,N/A,N/A,0,0,60
100,1771502254.499105,BENIGNE,N/A,N/A,N/A,0,0,60
101,1771502255.472159,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,55
102,1771502255.479966,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,66
103,1771502255.93098,BENIGNE,192.168.10.103,10.0.0.2,6,40004,80,74
104,1771502256.252612,BENIGNE,192.168.10.102,192.168.60.101,6,34646,5044,66
105,1771502256.26298,BENIGNE,192.168.60.101,192.168.10.102,6,5044,34646,66
106,1771502256.532965,BENIGNE,N/A,N/A,N/A,0,0,60
107,1771502257.693053,BENIGNE,192.168.10.100,52.123.255.69,6,49909,443,54
108,1771502257.701079,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,66
109,1771502257.704318,BENIGNE,52.123.255.69,192.168.10.100,6,443,49909,56
110,1771502257.709383,BENIGNE,192.168.10.100,52.123.255.69,6,49909,443,54
111,1771502257.712074,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,66
112,1771502257.713721,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
113,1771502257.720526,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,791
114,1771502257.730787,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,153
115,1771502257.731835,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
116,1771502257.740674,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,862
117,1771502257.750971,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,1514
118,1771502257.751465,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,1514
119,1771502257.751904,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
120,1771502257.752422,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
121,1771502257.755141,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,1145
122,1771502257.756056,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
123,1771502257.760993,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,128
124,1771502257.762326,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,687
125,1771502257.772207,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,529
126,1771502257.773216,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
127,1771502257.824185,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,56
128,1771502257.878998,BENIGNE,52.123.255.69,192.168.10.100,6,443,49910,1293
129,1771502257.879904,BENIGNE,192.168.10.100,52.123.255.69,6,49910,443,54
130,1771502258.626381,BENIGNE,N/A,N/A,N/A,0,0,60
131,1771502260.455829,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,1514
132,1771502260.455957,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,1514
133,1771502260.456007,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,848
134,1771502260.46974,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,56
135,1771502260.470293,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,56
136,1771502260.473658,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,60
137,1771502260.479876,BENIGNE,192.168.60.101,192.168.10.100,6,5044,49736,60
138,1771502260.480778,BENIGNE,192.168.10.100,192.168.60.101,6,49736,5044,54
139,1771502260.76639,BENIGNE,N/A,N/A,N/A,0,0,60
